Restaurant_Name,City,Cuisine,Rating,Votes,Cost_For_Two,Review,Date,Month,Year,Sentiment_Label,VADER_Compound_Score,Reviewer_Name,Dining_Type,Has_Online_Delivery,Has_Table_Booking,Review_Length,Word_Count
Bukhara,Chennai,North Indian,3.6,3458,300,Moderate experience overall. Some dishes were good while others were just average.,2023-06-04,June,2023,Neutral,0.2405,User_7977,Delivery,No,Yes,82,12
Burger King,Bangalore,Continental,3.1,2739,400,Not bad but not great either. Service was slow but the staff was polite throughout.,2022-05-23,May,2022,Neutral,0.2835,User_1881,Dine-in,No,Yes,83,15
Rajdhani,Ahmedabad,Mughlai,4.6,2529,600,Absolutely loved the food! The biryani was heavenly and the service was top-notch.,2022-06-26,June,2022,Positive,0.4403,User_2316,Dine-in,Yes,Yes,82,13
Peter Cat,Mumbai,Italian,4.8,2833,400,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2023-05-04,May,2023,Positive,0.562,User_2636,Delivery,No,Yes,73,10
Arsalan,Pune,Bengali,1.7,2689,1000,Very disappointing. The food tasted stale and the place looked dirty and unkempt.,2022-05-17,May,2022,Negative,-0.7772,User_5639,Takeaway,No,No,81,13
Flurys,Mumbai,Fast Food,5.0,1936,400,The butter chicken here is legendary. Cannot stop thinking about it even now.,2023-09-16,September,2023,Positive,0.3188,User_7047,Delivery,No,Yes,77,13
Oudh 1590,Pune,South Indian,1.9,770,1000,Overpriced for mediocre food quality. Definitely not worth it at all.,2022-11-06,November,2022,Negative,-0.969,User_6563,Delivery,Yes,No,69,11
Subway,Chennai,Continental,4.4,1349,400,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2023-03-08,March,2023,Positive,0.4827,User_7524,Takeaway,Yes,No,82,12
Dominos Pizza,Kolkata,South Indian,2.5,4717,400,Extremely slow service. The food arrived cold and without proper presentation at all.,2022-11-23,November,2022,Negative,-0.9914,User_9306,Delivery,No,Yes,85,13
Aminia,Pune,Mughlai,1.8,3698,2000,Food was not at all what was shown in the menu photos. Very deceiving experience.,2022-04-29,April,2022,Negative,-0.4806,User_9225,Delivery,No,No,81,15
Flurys,Kolkata,South Indian,2.0,1241,300,Extremely slow service. The food arrived cold and without proper presentation at all.,2023-11-22,November,2023,Negative,-0.7316,User_1113,Delivery,No,Yes,85,13
Aaheli,Ahmedabad,Mughlai,3.8,420,800,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2023-04-17,April,2023,Positive,0.9075,User_7050,Delivery,No,No,87,13
Pind Balluchi,Delhi,Thai,4.2,301,600,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2022-11-29,November,2022,Positive,0.3123,User_2829,Delivery,Yes,No,87,13
Smoke House Deli,Bangalore,South Indian,4.7,2839,600,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2023-03-18,March,2023,Positive,0.743,User_8504,Takeaway,Yes,No,75,11
Mainland China,Mumbai,Fast Food,4.5,4209,1000,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2022-04-14,April,2022,Positive,0.8067,User_2290,Delivery,No,No,75,11
Bukhara,Delhi,Chinese,3.5,963,1000,Okay for a quick meal but probably not my first choice for a special occasion.,2022-03-23,March,2022,Neutral,0.1456,User_4139,Takeaway,No,No,78,15
Oudh 1590,Hyderabad,North Indian,4.1,2277,400,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2022-10-09,October,2022,Positive,0.9548,User_9217,Takeaway,Yes,No,84,15
Taco Bell,Chennai,Continental,3.8,2197,600,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2022-05-13,May,2022,Positive,0.59,User_8576,Takeaway,No,Yes,88,13
Farzi Cafe,Hyderabad,North Indian,1.1,3783,2000,The staff was rude and unhelpful. Will never visit again and do not recommend.,2023-12-31,December,2023,Negative,-0.7985,User_7893,Takeaway,No,No,78,14
Arsalan,Delhi,Fast Food,4.8,4370,500,Incredible flavors! This is my go-to place for celebrations and special occasions.,2023-05-26,May,2023,Positive,0.4062,User_3785,Takeaway,No,No,82,12
Bukhara,Delhi,Mexican,3.4,3034,1500,Average restaurant overall. Food is decent but presentation could be much better.,2022-08-01,August,2022,Neutral,-0.0928,User_5981,Delivery,No,No,81,12
Oh! Calcutta,Delhi,Chinese,2.2,2335,200,Overpriced for mediocre food quality. Definitely not worth it at all.,2023-03-02,March,2023,Negative,-0.6046,User_9040,Dine-in,No,Yes,69,11
Moti Mahal,Mumbai,South Indian,5.0,3295,400,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2022-07-02,July,2022,Positive,0.6995,User_7693,Delivery,Yes,No,88,13
Nizam,Chennai,Fast Food,1.2,4124,800,Very bad experience overall. The manager was unapologetic about the long wait time.,2023-10-11,October,2023,Negative,-0.3807,User_9775,Takeaway,No,Yes,83,13
Bukhara,Ahmedabad,Bengali,4.3,2372,1000,Great place for family dining. Kids loved the food and staff was very accommodating.,2022-07-01,July,2022,Positive,0.9467,User_1054,Takeaway,No,No,84,14
Taco Bell,Mumbai,Mughlai,2.9,1846,200,Extremely slow service. The food arrived cold and without proper presentation at all.,2023-10-14,October,2023,Negative,-0.7128,User_3270,Takeaway,Yes,No,85,13
The Great Kabab Factory,Kolkata,Mexican,4.6,4936,200,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2023-01-15,January,2023,Positive,0.7791,User_7378,Takeaway,Yes,Yes,85,14
Oh! Calcutta,Kolkata,Italian,4.7,540,600,Great place for family dining. Kids loved the food and staff was very accommodating.,2022-05-16,May,2022,Positive,0.4398,User_1506,Dine-in,No,No,84,14
Smoke House Deli,Ahmedabad,Italian,2.0,1314,800,Not hygienic at all. Found something unexpected in my food. Completely put off.,2023-09-11,September,2023,Negative,-0.9222,User_5011,Delivery,Yes,Yes,79,13
Mainland China,Pune,Thai,3.0,1001,1500,Visited during lunch. The thali was alright but nothing particularly special.,2022-09-24,September,2022,Neutral,-0.0497,User_9751,Takeaway,Yes,No,77,11
Arsalan,Delhi,Continental,3.2,3520,1200,Decent place with average food. Nothing extraordinary but nothing terrible either.,2023-06-08,June,2023,Neutral,0.13,User_3032,Dine-in,Yes,No,82,11
Zara,Mumbai,Chinese,4.2,2176,500,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2023-05-10,May,2023,Positive,0.9391,User_2591,Delivery,Yes,No,80,11
Aminia,Hyderabad,Continental,4.3,4664,600,The butter chicken here is legendary. Cannot stop thinking about it even now.,2023-12-18,December,2023,Positive,0.8512,User_5510,Takeaway,Yes,Yes,77,13
Subway,Chennai,North Indian,4.5,4660,400,Incredible flavors! This is my go-to place for celebrations and special occasions.,2022-11-11,November,2022,Positive,0.7997,User_5992,Delivery,No,No,82,12
Subway,Bangalore,Chinese,1.5,2491,2000,Extremely slow service. The food arrived cold and without proper presentation at all.,2022-08-05,August,2022,Negative,-0.8405,User_3430,Takeaway,Yes,No,85,13
Karim's,Pune,Bengali,2.8,2584,1500,Overpriced for mediocre food quality. Definitely not worth it at all.,2023-08-25,August,2023,Negative,-0.5493,User_9574,Delivery,No,No,69,11
Burger King,Ahmedabad,Chinese,3.8,2543,500,The portions are generous and the taste is authentic. Great value for money indeed.,2022-12-17,December,2022,Positive,0.9629,User_4382,Dine-in,Yes,No,83,14
Nizam,Mumbai,Italian,4.5,1880,1500,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2022-01-13,January,2022,Positive,0.747,User_4318,Delivery,Yes,No,84,15
McDonald's,Kolkata,Thai,5.0,468,300,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2023-07-05,July,2023,Positive,0.8926,User_8317,Takeaway,Yes,Yes,73,10
Mamagoto,Bangalore,Italian,4.3,4531,600,The butter chicken here is legendary. Cannot stop thinking about it even now.,2023-09-16,September,2023,Positive,0.3282,User_5546,Dine-in,Yes,Yes,77,13
Pizza Hut,Chennai,North Indian,4.5,4408,300,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2023-04-21,April,2023,Positive,0.7069,User_1836,Delivery,Yes,Yes,88,13
Arsalan,Mumbai,Bengali,3.9,2467,1200,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2023-09-05,September,2023,Positive,0.7126,User_1157,Takeaway,No,Yes,88,13
Mocambo,Hyderabad,Mexican,3.6,4936,1000,Visited twice and both times it was a mixed bag experience. Inconsistent quality.,2022-09-15,September,2022,Neutral,0.2953,User_5435,Delivery,Yes,No,81,13
Aaheli,Ahmedabad,Thai,4.2,2265,800,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2022-09-12,September,2022,Positive,0.9071,User_9242,Delivery,No,Yes,80,11
Taco Bell,Ahmedabad,North Indian,4.4,2505,1000,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2022-03-09,March,2022,Positive,0.4142,User_2549,Delivery,No,Yes,73,10
The Irish House,Mumbai,Italian,4.2,2468,300,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2023-04-29,April,2023,Positive,0.8365,User_4445,Takeaway,Yes,No,73,10
Burger King,Hyderabad,Mughlai,2.2,4886,1200,Overpriced for mediocre food quality. Definitely not worth it at all.,2023-06-13,June,2023,Negative,-0.89,User_7830,Takeaway,No,Yes,69,11
Mamagoto,Ahmedabad,Continental,4.2,2533,1200,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2022-11-19,November,2022,Positive,0.5478,User_7968,Takeaway,No,No,87,13
Biryani Blues,Pune,North Indian,3.5,169,600,Standard restaurant with regular Indian food. Nothing to write home about really.,2023-04-13,April,2023,Neutral,-0.216,User_4313,Dine-in,No,No,81,12
Karim's,Delhi,Fast Food,4.2,4130,500,The portions are generous and the taste is authentic. Great value for money indeed.,2022-07-24,July,2022,Positive,0.692,User_8210,Delivery,Yes,Yes,83,14
Smoke House Deli,Bangalore,Fast Food,2.1,3999,1000,Pathetic quality control. The food was terrible and caused stomach issues afterwards.,2022-02-17,February,2022,Negative,-0.3336,User_5093,Delivery,No,Yes,85,12
McDonald's,Delhi,Fast Food,4.3,616,400,Incredible flavors! This is my go-to place for celebrations and special occasions.,2023-04-29,April,2023,Positive,0.499,User_6317,Takeaway,No,Yes,82,12
Subway,Chennai,Mexican,4.3,4570,600,Best restaurant in the city! Will definitely come back. Highly recommend to everyone.,2023-07-14,July,2023,Positive,0.5295,User_9700,Delivery,Yes,Yes,85,13
Haldirams,Kolkata,Fast Food,3.6,1875,1200,Average restaurant overall. Food is decent but presentation could be much better.,2022-11-25,November,2022,Neutral,-0.1711,User_8549,Delivery,No,Yes,81,12
Mamagoto,Chennai,Mexican,1.3,3994,1000,Terrible service! Waited for over an hour and the food arrived cold and tasteless.,2023-03-14,March,2023,Negative,-0.5504,User_1786,Takeaway,Yes,No,82,14
The Great Kabab Factory,Pune,North Indian,3.6,559,800,Standard restaurant with regular Indian food. Nothing to write home about really.,2023-08-12,August,2023,Neutral,-0.0048,User_2237,Takeaway,Yes,Yes,81,12
Flurys,Bangalore,Thai,3.4,608,500,Good location but the food is just okay. Service was average and took some time.,2023-10-28,October,2023,Neutral,-0.0189,User_8060,Delivery,No,No,80,15
Subway,Kolkata,South Indian,4.2,185,1000,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2023-12-11,December,2023,Positive,0.6694,User_7577,Takeaway,No,Yes,85,14
Oudh 1590,Pune,North Indian,4.3,2685,2000,Incredible flavors! This is my go-to place for celebrations and special occasions.,2022-08-17,August,2022,Positive,0.4812,User_9722,Delivery,Yes,No,82,12
6 Ballygunge Place,Bangalore,Italian,1.6,333,2000,The staff was rude and unhelpful. Will never visit again and do not recommend.,2023-07-01,July,2023,Negative,-0.9294,User_3086,Takeaway,No,Yes,78,14
Saravana Bhavan,Kolkata,Italian,1.6,1789,500,The staff was rude and unhelpful. Will never visit again and do not recommend.,2022-10-05,October,2022,Negative,-0.703,User_6821,Dine-in,Yes,No,78,14
KFC,Pune,North Indian,4.8,3602,1200,The butter chicken here is legendary. Cannot stop thinking about it even now.,2022-02-20,February,2022,Positive,0.446,User_7540,Dine-in,Yes,No,77,13
Zara,Mumbai,South Indian,3.7,1727,400,Not bad but not great either. Service was slow but the staff was polite throughout.,2022-05-05,May,2022,Neutral,0.1347,User_2971,Delivery,No,No,83,15
Indian Accent,Hyderabad,Italian,3.2,142,1200,Not bad but not great either. Service was slow but the staff was polite throughout.,2022-04-25,April,2022,Neutral,-0.1468,User_1118,Delivery,No,No,83,15
McDonald's,Kolkata,Fast Food,3.3,701,500,Good location but the food is just okay. Service was average and took some time.,2022-11-04,November,2022,Neutral,0.2087,User_7384,Delivery,Yes,No,80,15
Saravana Bhavan,Delhi,Chinese,3.4,3858,400,The ambiance is nice but food quality could be improved considerably.,2022-06-09,June,2022,Neutral,-0.2232,User_1638,Dine-in,Yes,No,69,11
Karim's,Pune,Chinese,4.9,3000,400,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2023-11-16,November,2023,Positive,0.9757,User_2792,Dine-in,Yes,No,75,11
Social,Chennai,Mughlai,2.2,243,800,Food was not at all what was shown in the menu photos. Very deceiving experience.,2022-01-27,January,2022,Negative,-0.9801,User_8708,Dine-in,Yes,No,81,15
Mainland China,Pune,Mexican,1.3,3449,300,Overpriced for mediocre food quality. Definitely not worth it at all.,2022-08-17,August,2022,Negative,-0.9895,User_2086,Dine-in,No,No,69,11
Indian Accent,Ahmedabad,Chinese,3.2,2655,400,Decent place with average food. Nothing extraordinary but nothing terrible either.,2022-09-21,September,2022,Neutral,-0.0183,User_9847,Delivery,Yes,No,82,11
Aminia,Hyderabad,Chinese,4.8,786,300,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2023-11-07,November,2023,Positive,0.3998,User_7616,Delivery,Yes,Yes,75,11
Farzi Cafe,Chennai,Chinese,1.6,4269,2000,Food was not at all what was shown in the menu photos. Very deceiving experience.,2023-11-16,November,2023,Negative,-0.3182,User_9468,Takeaway,No,Yes,81,15
Saravana Bhavan,Pune,Fast Food,2.4,1631,200,The biryani was bland and overpriced. Expected much better quality from this place.,2023-01-30,January,2023,Negative,-0.4045,User_3984,Dine-in,Yes,Yes,83,13
Smoke House Deli,Bangalore,Mughlai,4.4,3333,2000,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2022-07-12,July,2022,Positive,0.9004,User_8407,Dine-in,No,No,85,14
Flurys,Ahmedabad,South Indian,2.5,2101,400,Very bad experience overall. The manager was unapologetic about the long wait time.,2022-12-12,December,2022,Negative,-0.3533,User_6586,Delivery,No,Yes,83,13
Udupi Palace,Chennai,South Indian,2.2,1870,300,Extremely slow service. The food arrived cold and without proper presentation at all.,2022-05-10,May,2022,Negative,-0.3247,User_8494,Dine-in,Yes,No,85,13
Pizza Hut,Kolkata,Continental,5.0,3266,400,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2023-06-01,June,2023,Positive,0.3581,User_9370,Dine-in,Yes,Yes,73,10
The Great Kabab Factory,Hyderabad,Fast Food,4.0,4377,200,Superb food quality and excellent presentation. The desserts were absolutely divine.,2023-06-22,June,2023,Positive,0.9019,User_6941,Takeaway,Yes,Yes,84,11
Karim's,Bangalore,South Indian,2.2,3483,1500,Very bad experience overall. The manager was unapologetic about the long wait time.,2022-06-05,June,2022,Negative,-0.5673,User_4312,Delivery,Yes,No,83,13
Pind Balluchi,Pune,Thai,3.3,623,200,Average restaurant overall. Food is decent but presentation could be much better.,2022-11-04,November,2022,Neutral,-0.2183,User_5117,Takeaway,No,Yes,81,12
Oudh 1590,Mumbai,North Indian,1.3,1316,1000,Overpriced for mediocre food quality. Definitely not worth it at all.,2022-09-06,September,2022,Negative,-0.4243,User_7865,Delivery,Yes,Yes,69,11
Rajdhani,Mumbai,Italian,3.0,1696,400,Okay for a quick meal but probably not my first choice for a special occasion.,2023-08-23,August,2023,Neutral,-0.0591,User_8264,Dine-in,No,No,78,15
Biryani Blues,Mumbai,Thai,4.7,2457,1200,Best restaurant in the city! Will definitely come back. Highly recommend to everyone.,2022-08-26,August,2022,Positive,0.7189,User_3045,Takeaway,No,Yes,85,13
Haldirams,Kolkata,Continental,3.2,3499,1200,Decent place with average food. Nothing extraordinary but nothing terrible either.,2022-04-26,April,2022,Neutral,0.2347,User_3759,Takeaway,No,No,82,11
Farzi Cafe,Mumbai,South Indian,3.8,3552,1200,Visited twice and both times it was a mixed bag experience. Inconsistent quality.,2022-09-05,September,2022,Neutral,0.2191,User_7908,Dine-in,Yes,No,81,13
Yauatcha,Chennai,Thai,4.8,838,200,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2022-03-27,March,2022,Positive,0.9882,User_8955,Dine-in,No,Yes,80,11
Zara,Pune,Continental,4.8,3088,2000,Superb food quality and excellent presentation. The desserts were absolutely divine.,2023-09-14,September,2023,Positive,0.6415,User_9502,Takeaway,No,Yes,84,11
Nizam,Mumbai,Mexican,3.4,4762,800,Good location but the food is just okay. Service was average and took some time.,2022-09-02,September,2022,Neutral,-0.2295,User_7911,Delivery,Yes,No,80,15
Mocambo,Ahmedabad,Mexican,3.7,220,1000,Decent place with average food. Nothing extraordinary but nothing terrible either.,2023-10-06,October,2023,Neutral,0.1879,User_4539,Takeaway,Yes,Yes,82,11
Udupi Palace,Mumbai,Continental,3.6,2828,800,Decent place with average food. Nothing extraordinary but nothing terrible either.,2022-09-17,September,2022,Neutral,0.2097,User_6773,Dine-in,No,No,82,11
Barbeque Nation,Kolkata,Bengali,1.5,4493,1500,Very bad experience overall. The manager was unapologetic about the long wait time.,2022-08-03,August,2022,Negative,-0.4445,User_6273,Takeaway,No,No,83,13
Taco Bell,Ahmedabad,South Indian,4.4,2515,800,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2022-08-22,August,2022,Positive,0.8636,User_2659,Takeaway,Yes,No,85,14
Saravana Bhavan,Ahmedabad,Chinese,1.5,3596,800,The staff was rude and unhelpful. Will never visit again and do not recommend.,2022-12-26,December,2022,Negative,-0.5048,User_6922,Dine-in,Yes,No,78,14
The Great Kabab Factory,Mumbai,Italian,2.3,1467,1500,Average food at best but way too expensive for what you get. Not worth visiting.,2023-07-28,July,2023,Negative,-0.6077,User_7520,Takeaway,Yes,Yes,80,15
Dominos Pizza,Mumbai,Mexican,3.7,2908,1500,Visited during lunch. The thali was alright but nothing particularly special.,2022-12-15,December,2022,Neutral,-0.2125,User_7500,Dine-in,No,Yes,77,11
Pind Balluchi,Mumbai,Fast Food,3.6,225,600,Average restaurant overall. Food is decent but presentation could be much better.,2022-06-08,June,2022,Neutral,-0.1525,User_9101,Dine-in,Yes,Yes,81,12
Farzi Cafe,Ahmedabad,Italian,4.1,3605,1200,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2023-09-19,September,2023,Positive,0.3145,User_7791,Takeaway,Yes,No,87,13
Taco Bell,Pune,Mexican,3.6,3543,600,Visited during lunch. The thali was alright but nothing particularly special.,2023-01-08,January,2023,Neutral,0.124,User_7065,Delivery,Yes,No,77,11
Flurys,Kolkata,South Indian,3.2,4419,500,The ambiance is nice but food quality could be improved considerably.,2023-12-21,December,2023,Neutral,0.1965,User_3109,Dine-in,No,No,69,11
McDonald's,Hyderabad,Fast Food,2.9,2214,1200,Very bad experience overall. The manager was unapologetic about the long wait time.,2022-08-18,August,2022,Negative,-0.4252,User_1871,Delivery,No,No,83,13
Zara,Pune,South Indian,2.9,2857,200,The ambiance is nice but food quality could be improved considerably.,2023-10-28,October,2023,Neutral,-0.0309,User_8809,Takeaway,Yes,Yes,69,11
Rajdhani,Mumbai,Continental,1.1,3256,400,Pathetic quality control. The food was terrible and caused stomach issues afterwards.,2023-03-18,March,2023,Negative,-0.5816,User_4525,Takeaway,No,No,85,12
Flurys,Chennai,Fast Food,4.9,4817,1500,Superb food quality and excellent presentation. The desserts were absolutely divine.,2022-05-28,May,2022,Positive,0.9624,User_6152,Dine-in,Yes,No,84,11
Zara,Mumbai,South Indian,1.8,4937,500,Average food at best but way too expensive for what you get. Not worth visiting.,2022-07-19,July,2022,Negative,-0.8872,User_3938,Dine-in,Yes,No,80,15
KFC,Kolkata,South Indian,4.5,3133,1000,The portions are generous and the taste is authentic. Great value for money indeed.,2023-02-01,February,2023,Positive,0.9643,User_8772,Dine-in,No,Yes,83,14
McDonald's,Chennai,Fast Food,4.9,3298,600,The portions are generous and the taste is authentic. Great value for money indeed.,2022-07-08,July,2022,Positive,0.6498,User_4286,Dine-in,No,Yes,83,14
Udupi Palace,Ahmedabad,South Indian,4.9,3066,200,Absolutely loved the food! The biryani was heavenly and the service was top-notch.,2023-07-25,July,2023,Positive,0.3426,User_2564,Dine-in,Yes,Yes,82,13
Biryani Blues,Kolkata,Mughlai,4.9,1554,400,Superb food quality and excellent presentation. The desserts were absolutely divine.,2022-03-13,March,2022,Positive,0.6944,User_9162,Dine-in,Yes,No,84,11
McDonald's,Bangalore,Mexican,4.9,1229,1500,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2022-07-01,July,2022,Positive,0.7945,User_8292,Dine-in,Yes,Yes,75,11
Punjab Grill,Chennai,South Indian,4.5,1592,1200,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2022-04-13,April,2022,Positive,0.4172,User_3543,Takeaway,No,No,75,11
Trincas,Pune,Bengali,3.0,4030,500,Not bad but not great either. Service was slow but the staff was polite throughout.,2022-05-25,May,2022,Neutral,-0.1523,User_4085,Delivery,Yes,No,83,15
Barbeque Nation,Ahmedabad,Mexican,3.9,4721,2000,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2023-06-24,June,2023,Positive,0.7584,User_9715,Takeaway,No,Yes,73,10
Pind Balluchi,Kolkata,Chinese,4.2,3098,1000,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2023-02-18,February,2023,Positive,0.7384,User_2349,Delivery,Yes,No,88,13
McDonald's,Kolkata,Thai,4.2,4331,200,The portions are generous and the taste is authentic. Great value for money indeed.,2022-10-22,October,2022,Positive,0.9946,User_1682,Dine-in,Yes,No,83,14
Zara,Bangalore,Fast Food,1.1,2891,500,Average food at best but way too expensive for what you get. Not worth visiting.,2023-01-30,January,2023,Negative,-0.3233,User_9810,Dine-in,No,Yes,80,15
Aaheli,Kolkata,North Indian,3.3,607,800,Good location but the food is just okay. Service was average and took some time.,2022-08-15,August,2022,Neutral,-0.1886,User_4335,Delivery,Yes,Yes,80,15
Mainland China,Pune,Italian,3.7,1460,800,Good location but the food is just okay. Service was average and took some time.,2022-09-04,September,2022,Neutral,-0.2972,User_7388,Dine-in,No,No,80,15
Mainland China,Bangalore,Chinese,2.3,2547,2000,The biryani was bland and overpriced. Expected much better quality from this place.,2023-03-09,March,2023,Negative,-0.3826,User_4356,Takeaway,No,No,83,13
Biryani Blues,Pune,Mughlai,4.9,4926,600,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2023-05-15,May,2023,Positive,0.8717,User_1170,Takeaway,No,Yes,82,12
Mocambo,Bangalore,Italian,3.9,1512,300,Best restaurant in the city! Will definitely come back. Highly recommend to everyone.,2023-05-16,May,2023,Positive,0.9316,User_9797,Delivery,Yes,No,85,13
Bukhara,Chennai,Thai,4.5,1665,1000,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2022-05-03,May,2022,Positive,0.3759,User_2417,Takeaway,No,Yes,82,12
Pizza Hut,Delhi,Bengali,4.1,562,300,Best restaurant in the city! Will definitely come back. Highly recommend to everyone.,2022-07-08,July,2022,Positive,0.8832,User_4960,Delivery,No,No,85,13
Subway,Ahmedabad,Mexican,2.8,2614,500,Very bad experience overall. The manager was unapologetic about the long wait time.,2022-07-13,July,2022,Negative,-0.4632,User_1716,Takeaway,Yes,Yes,83,13
Udupi Palace,Chennai,Chinese,4.9,2400,400,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2023-01-25,January,2023,Positive,0.3395,User_9283,Dine-in,Yes,Yes,88,13
The Irish House,Kolkata,Bengali,3.9,4571,600,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2023-06-26,June,2023,Positive,0.472,User_3639,Dine-in,No,Yes,84,15
KFC,Mumbai,Mughlai,4.5,324,800,Absolutely loved the food! The biryani was heavenly and the service was top-notch.,2022-11-26,November,2022,Positive,0.4189,User_3350,Dine-in,Yes,Yes,82,13
Moti Mahal,Delhi,Mexican,4.7,4627,200,The portions are generous and the taste is authentic. Great value for money indeed.,2022-08-18,August,2022,Positive,0.3837,User_9938,Dine-in,Yes,No,83,14
6 Ballygunge Place,Pune,Continental,1.9,2058,1200,Extremely slow service. The food arrived cold and without proper presentation at all.,2023-12-01,December,2023,Negative,-0.4764,User_6654,Takeaway,No,No,85,13
Subway,Ahmedabad,Thai,3.0,2117,1000,Moderate experience overall. Some dishes were good while others were just average.,2022-06-28,June,2022,Neutral,0.0823,User_3626,Delivery,Yes,No,82,12
Punjab Grill,Bangalore,North Indian,4.9,2901,400,The butter chicken here is legendary. Cannot stop thinking about it even now.,2023-02-16,February,2023,Positive,0.8962,User_4409,Delivery,No,No,77,13
Oh! Calcutta,Ahmedabad,Bengali,3.2,4351,400,Average restaurant overall. Food is decent but presentation could be much better.,2023-02-13,February,2023,Neutral,-0.1044,User_4373,Dine-in,Yes,Yes,81,12
6 Ballygunge Place,Hyderabad,Mexican,4.5,2524,800,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2023-02-23,February,2023,Positive,0.8348,User_4498,Delivery,Yes,No,84,15
McDonald's,Ahmedabad,Continental,3.3,1293,1500,Visited twice and both times it was a mixed bag experience. Inconsistent quality.,2022-12-12,December,2022,Neutral,-0.1804,User_7296,Takeaway,No,Yes,81,13
Mocambo,Delhi,Italian,4.0,1286,2000,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2023-11-28,November,2023,Positive,0.9885,User_7584,Takeaway,Yes,Yes,80,11
Indian Accent,Kolkata,Bengali,4.0,4356,2000,The butter chicken here is legendary. Cannot stop thinking about it even now.,2022-11-20,November,2022,Positive,0.9519,User_1578,Takeaway,Yes,Yes,77,13
Dominos Pizza,Delhi,North Indian,3.2,1243,500,Decent place with average food. Nothing extraordinary but nothing terrible either.,2023-01-01,January,2023,Neutral,-0.246,User_4489,Delivery,Yes,No,82,11
Oudh 1590,Kolkata,Mexican,3.3,841,600,Average restaurant overall. Food is decent but presentation could be much better.,2022-10-24,October,2022,Neutral,0.1222,User_3618,Dine-in,Yes,No,81,12
KFC,Pune,Chinese,1.9,938,500,Very bad experience overall. The manager was unapologetic about the long wait time.,2023-12-08,December,2023,Negative,-0.3117,User_3402,Delivery,Yes,Yes,83,13
Pizza Hut,Pune,Bengali,4.7,4801,1200,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2023-01-07,January,2023,Positive,0.7103,User_3979,Delivery,Yes,No,75,11
6 Ballygunge Place,Kolkata,Fast Food,3.0,1234,1000,Standard restaurant with regular Indian food. Nothing to write home about really.,2022-11-04,November,2022,Neutral,-0.219,User_2818,Takeaway,Yes,No,81,12
Pind Balluchi,Mumbai,Fast Food,1.0,3001,400,Not hygienic at all. Found something unexpected in my food. Completely put off.,2023-03-04,March,2023,Negative,-0.3763,User_5140,Dine-in,No,Yes,79,13
Aminia,Kolkata,Chinese,4.6,341,800,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2023-03-20,March,2023,Positive,0.4842,User_5470,Takeaway,No,Yes,88,13
Udupi Palace,Delhi,Chinese,2.9,1645,1000,Visited twice and both times it was a mixed bag experience. Inconsistent quality.,2022-11-06,November,2022,Neutral,0.0442,User_8702,Delivery,No,Yes,81,13
Yauatcha,Pune,Fast Food,4.8,1094,800,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2023-02-21,February,2023,Positive,0.8489,User_6672,Takeaway,No,Yes,73,10
